# x_m,y_m,w_tr_right_m,w_tr_left_m
1.4920,0.2522,0.5000,0.5000
1.4520,0.2522,0.5000,0.5000
1.4120,0.2522,0.4946,0.4946
1.3720,0.2522,0.4824,0.4824
1.3320,0.2522,0.4727,0.4727
1.2920,0.2522,0.4657,0.4657
1.2520,0.2522,0.4614,0.4614
1.2120,0.2522,0.4600,0.4600
1.1720,0.2522,0.4600,0.4600
1.1320,0.2522,0.4600,0.4600
1.0920,0.2522,0.4600,0.4600
1.0520,0.2522,0.4600,0.4600
1.0120,0.2522,0.4600,0.4600
0.9720,0.2522,0.4600,0.4600
0.9320,0.2522,0.4600,0.4600
0.8920,0.2522,0.4600,0.4600
0.8520,0.2522,0.4600,0.4600
0.8120,0.2522,0.4600,0.4600
0.7720,0.2522,0.4600,0.4600
0.7320,0.2522,0.4600,0.4600
0.6920,0.2522,0.4614,0.4614
0.6520,0.2522,0.4657,0.4657
0.6120,0.2522,0.4727,0.4727
0.5720,0.2922,0.5210,0.5210
0.5320,0.2922,0.5325,0.5325
0.4920,0.2922,0.5412,0.5412
0.4520,0.2922,0.5450,0.5450
0.4120,0.2922,0.5512,0.5512
0.3720,0.2922,0.5597,0.5597
0.3320,0.2922,0.5705,0.5705
0.2920,0.2922,0.5800,0.5800
0.2520,0.2922,0.5800,0.5800
0.2120,0.2922,0.5812,0.5812
0.1720,0.2922,0.5847,0.5847
0.1320,0.2522,0.6299,0.6299
0.0920,0.2522,0.6376,0.6376
0.0520,0.2122,0.6200,0.6200
0.0120,0.1722,0.5800,0.5800
-0.0280,0.1322,0.5400,0.5400
-0.0280,0.0922,0.5400,0.5400
-0.0280,0.0522,0.5400,0.5400
-0.0680,0.0122,0.5000,0.5000
-0.0680,-0.0278,0.5000,0.5000
-0.1080,-0.0678,0.4600,0.4600
-0.1080,-0.1078,0.4600,0.4600
-0.1080,-0.1478,0.4614,0.4614
-0.1480,-0.1878,0.4261,0.4261
-0.1480,-0.2278,0.4337,0.4337
-0.1480,-0.2678,0.4441,0.4441
-0.1480,-0.3078,0.4571,0.4571
-0.1480,-0.3478,0.4657,0.4657
-0.1880,-0.3878,0.4337,0.4337
-0.1880,-0.4278,0.4441,0.4441
-0.1880,-0.4678,0.4571,0.4571
-0.2280,-0.5078,0.4261,0.4261
-0.2280,-0.5478,0.4337,0.4337
-0.2280,-0.5878,0.4441,0.4441
-0.2680,-0.6278,0.4200,0.4200
-0.2680,-0.6678,0.4215,0.4215
-0.2680,-0.7078,0.4261,0.4261
-0.2680,-0.7478,0.4337,0.4337
-0.2680,-0.7878,0.4337,0.4337
-0.3080,-0.8278,0.4200,0.4200
-0.3080,-0.8678,0.4261,0.4261
-0.3080,-0.9078,0.4337,0.4337
-0.3080,-0.9478,0.4441,0.4441
-0.3080,-0.9878,0.4441,0.4441
-0.3480,-1.0278,0.4367,0.4367
-0.3480,-1.0678,0.4557,0.4557
-0.3480,-1.1078,0.4614,0.4614
-0.3480,-1.1478,0.4571,0.4571
-0.3480,-1.1878,0.4441,0.4441
-0.3880,-1.2278,0.4727,0.4727
-0.3880,-1.2678,0.4657,0.4657
-0.4280,-1.3078,0.5013,0.5013
-0.4680,-1.3478,0.5053,0.5053
-0.5080,-1.3878,0.4727,0.4727
-0.5480,-1.4278,0.4441,0.4441
-0.5880,-1.4278,0.4571,0.4571
-0.6280,-1.4678,0.4215,0.4215
-0.6680,-1.4678,0.4261,0.4261
-0.7080,-1.4678,0.4337,0.4337
-0.7480,-1.5078,0.4060,0.4060
-0.7880,-1.5078,0.4200,0.4200
-0.8280,-1.5078,0.4367,0.4367
-0.8680,-1.5078,0.4367,0.4367
-0.9080,-1.5478,0.4367,0.4367
-0.9480,-1.5478,0.4441,0.4441
